maximum number of tiles in grid [#],GLOBE size [B],GLOBE+GSHHG size [B],GLOBE+NE size [B],GSHHG size [B],NE size [B],"OS Terrain 50" size [B],total size [B]
192,14645512,29772773,20412527,1188085,1621876,0,67640773
193,14645512,29772773,20412527,1188085,1621876,0,67640773
194,14645512,29772773,20412527,1188085,1621876,0,67640773
195,14645512,29772773,20412527,1188085,1621876,0,67640773
196,14645512,29772773,20412527,1188085,1621876,0,67640773
197,14645512,29772773,20412527,1188085,1621876,0,67640773
198,14645512,29772773,20412527,1188085,1621876,0,67640773
199,14645512,29772773,20412527,1188085,1621876,0,67640773
200,14645512,29772773,20412527,1188085,1621876,0,67640773
201,14645512,29772773,20412527,1188085,1621876,0,67640773
202,14645512,29772773,20412527,1188085,1621876,0,67640773
203,14645512,29772773,20412527,1188085,1621876,0,67640773
204,14645512,29772773,20412527,1188085,1621876,0,67640773
205,14645512,29772773,20412527,1188085,1621876,0,67640773
206,14645512,29772773,20412527,1188085,1621876,0,67640773
207,14645512,29772773,20412527,1188085,1621876,0,67640773
208,14645512,29772773,20412527,1188085,1621876,0,67640773
209,14645512,29772773,20412527,1188085,1621876,0,67640773
210,14645512,29772773,20412527,1188085,1621876,0,67640773
211,14645512,29772773,20412527,1188085,1621876,0,67640773
212,14645512,29772773,20412527,1188085,1621876,0,67640773
213,14645512,29772773,20412527,1188085,1621876,0,67640773
214,14645512,29772773,20412527,1188085,1621876,0,67640773
215,14645512,29772773,20412527,1188085,1621876,0,67640773
216,14645512,29772773,20412527,1188085,1621876,0,67640773
217,14645512,29772773,20412527,1188085,1621876,0,67640773
218,14645512,29772773,20412527,1188085,1621876,0,67640773
219,14645512,29772773,20412527,1188085,1621876,0,67640773
220,14645512,29772773,20412527,1188085,1621876,0,67640773
221,14645512,29772773,20412527,1188085,1621876,0,67640773
222,14645512,29772773,20412527,1188085,1621876,0,67640773
223,14645512,29772773,20412527,1188085,1621876,0,67640773
224,14645512,29772773,20412527,1188085,1621876,0,67640773
225,14645512,29772773,20412527,1188085,1621876,0,67640773
226,14645512,29772773,20412527,1188085,1621876,0,67640773
227,14645512,29772773,20412527,1188085,1621876,0,67640773
228,14645512,29772773,20412527,1188085,1621876,0,67640773
229,14645512,29772773,20412527,1188085,1621876,0,67640773
230,14645512,29772773,20412527,1188085,1621876,0,67640773
231,14645512,29772773,20412527,1188085,1621876,0,67640773
232,14645512,29772773,20412527,1188085,1621876,0,67640773
233,14645512,29772773,20412527,1188085,1621876,0,67640773
234,14645512,29772773,20412527,1188085,1621876,0,67640773
